turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_runs
1,0.5669151,0.29342532,0.840655,0.38318917,0.120983414,0.6664337,10
2,0.32359213,0.10624988,0.56345457,0.5937177,0.3356885,0.83858204,10
3,0.5280123,0.17986721,0.85123056,0.4162787,0.09044307,0.75552994,6
4,0.4732963,0.16995873,0.776634,0.43119177,0.13981737,0.72856885,6
5,0.6948092,0.4542621,0.9880536,0.14201884,0.000142716,0.29782987,3
6,0.0017647449,0.0017647449,0.0017647449,0.99647355,0.99647355,0.99647355,1
