turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_obs
1,0.28251064,0.019616297306492926,0.5709506362676621,0.6898068,0.39789994060993195,0.9605922713875771,10
2,0.3007162,0.07845786865800619,0.5649240180850028,0.6569451,0.3627626344561577,0.8995518326759339,10
3,0.3221417,0.0784451961517334,0.5683308243751526,0.5769984,0.27645432502031325,0.888941952586174,8
4,0.27611893,0.0472663527354598,0.5511292532086368,0.6472456,0.33934375569224356,0.9147464632987976,7
5,0.0521608,0.0012773703783750534,0.15383027493953705,0.9035675,0.7160031795501709,0.9974468350410461,3
6,0.07685593,0.07685592770576477,0.07685592770576477,0.852195,0.8521950244903564,0.8521950244903564,1
7,0.0027203814,0.0027203813660889864,0.0027203813660889864,0.9945667,0.9945666790008545,0.9945666790008545,1
