,intra_similarity,intra_similarity,intra_similarity,intra_similarity,intra_similarity,intra_similarity,intra_similarity,intra_similarity,cross_similarity,cross_similarity,cross_similarity,cross_similarity,cross_similarity,cross_similarity,cross_similarity,cross_similarity,character_distance,character_distance,character_distance,character_distance,character_distance,character_distance,character_distance,character_distance
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
character,,,,,,,,,,,,,,,,,,,,,,,,
holmes,99.0,0.3567221549645551,0.20135976249296128,0.03227201620876287,0.1952913170867202,0.36223399946588497,0.48346020561116565,0.9804255404868365,99.0,0.2877845384626134,0.15869524169815627,0.033569231601823415,0.16366977979496425,0.28074274802896004,0.3882108240609027,0.8660679386099568,99.0,0.06893761650194168,0.21942055691543355,-0.41673546201584893,-0.07235442377380752,0.05049196695828889,0.19002817934867605,0.6122178231417691
marple,99.0,0.2785832937185172,0.20530469677812047,0.007803822029382984,0.11294246706541473,0.2617214414859766,0.36437771711668476,0.8918346152207953,99.0,0.27385183281318987,0.1598350465314528,0.026135856791872383,0.14170182640572665,0.25575375910349946,0.3782707800406233,0.7867220758706618,99.0,0.00473146090532732,0.1940941440374772,-0.41667442965787643,-0.1297627014789729,-0.010228111331576153,0.11279764105400719,0.4674430188992797
poirot,99.0,0.36984541925629394,0.22979881578329225,0.03497337493013125,0.1721286006273971,0.31475938947842896,0.546620273475657,1.0,99.0,0.2947680677750366,0.1548091880417879,0.03789882160291696,0.18248547212246424,0.2590395647992722,0.3918189785044092,0.8433695400921998,99.0,0.07507735148125734,0.22072962379510255,-0.44863316141840026,-0.06887829860104919,0.04821402717665846,0.1782463533524887,0.6892043946594563
