case,run_id,turn,character,depth,reference_mean_depth,reference_std_depth,z_score
case1,run_20260115_184954,1,holmes,5.857142857142857,4.551333333333333,1.8421691320590274,0.7088434504110899
case1,run_20260115_184954,1,marple,8.0,3.848859640359641,1.2201469950054273,3.402164146314104
case1,run_20260115_184954,1,poirot,6.0,3.62060101010101,1.3428538016074505,1.7718972735905822
case1,run_20260115_184954,2,holmes,6.1,4.551333333333333,1.8421691320590274,0.8406756142611577
case1,run_20260115_184954,2,marple,8.0,3.848859640359641,1.2201469950054273,3.402164146314104
case1,run_20260115_184954,2,poirot,5.5,3.62060101010101,1.3428538016074505,1.399555921612072
case1,run_20260115_184954,3,poirot,6.4,3.62060101010101,1.3428538016074505,2.0697703551733904
case1,run_20260115_184954,3,marple,6.1,3.848859640359641,1.2201469950054273,1.8449747193208843
case1,run_20260115_184954,3,holmes,7.125,4.551333333333333,1.8421691320590274,1.3970848940401204
case1,run_20260115_184954,4,marple,6.555555555555555,3.848859640359641,1.2201469950054273,2.2183359269625336
case1,run_20260115_184954,4,poirot,5.777777777777778,3.62060101010101,1.3428538016074505,1.6064122282667999
case1,run_20260115_184954,4,holmes,7.2,4.551333333333333,1.8421691320590274,1.4377977681702885
case1,run_20260115_184954,5,holmes,7.888888888888889,4.551333333333333,1.8421691320590274,1.8117530564770168
case1,run_20260115_184954,5,marple,6.222222222222222,3.848859640359641,1.2201469950054273,1.9451447994198636
case1,run_20260115_184954,5,poirot,7.454545454545454,3.62060101010101,1.3428538016074505,2.8550721157098837
case1,run_20260115_184643,1,marple,6.5,3.848859640359641,1.2201469950054273,2.1728040723720885
case1,run_20260115_184643,1,holmes,6.0,4.551333333333333,1.8421691320590274,0.7863917820876005
case1,run_20260115_184643,1,poirot,6.0,3.62060101010101,1.3428538016074505,1.7718972735905822
case1,run_20260115_184643,2,poirot,7.5,3.62060101010101,1.3428538016074505,2.888921329526112
case1,run_20260115_184643,2,holmes,6.857142857142857,4.551333333333333,1.8421691320590274,1.251681772146663
case1,run_20260115_184643,2,marple,6.833333333333333,3.848859640359641,1.2201469950054273,2.4459951999147584
case1,run_20260115_184643,3,poirot,6.2727272727272725,3.62060101010101,1.3428538016074505,1.9749925564879511
case1,run_20260115_184643,3,holmes,7.666666666666667,4.551333333333333,1.8421691320590274,1.6911223183135562
case1,run_20260115_184643,3,marple,6.0,3.848859640359641,1.2201469950054273,1.7630173810580836
case1,run_20260115_184643,4,poirot,6.333333333333333,3.62060101010101,1.3428538016074505,2.0201248415762554
case1,run_20260115_184643,4,marple,7.571428571428571,3.848859640359641,1.2201469950054273,3.0509184109020993
case1,run_20260115_184643,4,holmes,7.666666666666667,4.551333333333333,1.8421691320590274,1.6911223183135562
case1,run_20260115_184643,5,poirot,8.0,3.62060101010101,1.3428538016074505,3.261262681504622
case1,run_20260115_184643,5,holmes,8.181818181818182,4.551333333333333,1.8421691320590274,1.970766302237942
case1,run_20260115_184643,5,marple,8.2,3.848859640359641,1.2201469950054273,3.5660788228397053
case1,run_20260115_185111,1,marple,6.714285714285714,3.848859640359641,1.2201469950054273,2.348426940078091
case1,run_20260115_185111,1,poirot,6.666666666666667,3.62060101010101,1.3428538016074505,2.268352409561929
case1,run_20260115_185111,1,holmes,6.125,4.551333333333333,1.8421691320590274,0.8542465723045473
case1,run_20260115_184527,1,poirot,6.142857142857143,3.62060101010101,1.3428538016074505,1.878280517013014
case1,run_20260115_184527,1,marple,7.5,3.848859640359641,1.2201469950054273,2.9923774550000988
case1,run_20260115_184527,1,holmes,5.571428571428571,4.551333333333333,1.8421691320590274,0.553746787058069
case1,run_20260115_184527,2,poirot,6.333333333333333,3.62060101010101,1.3428538016074505,2.0201248415762554
case1,run_20260115_184527,2,holmes,8.285714285714286,4.551333333333333,1.8421691320590274,2.0271650889117683
case1,run_20260115_184527,2,marple,7.2,3.848859640359641,1.2201469950054273,2.746505440211696
case1,run_20260115_184527,3,holmes,8.333333333333334,4.551333333333333,1.8421691320590274,2.0530145328039384
case1,run_20260115_184527,3,poirot,7.714285714285714,3.62060101010101,1.3428538016074505,3.04849619465976
case1,run_20260115_184527,3,marple,7.166666666666667,3.848859640359641,1.2201469950054273,2.7191863274574293
case1,run_20260115_184527,4,marple,7.444444444444445,3.848859640359641,1.2201469950054273,2.946845600409654
case1,run_20260115_184527,4,holmes,7.555555555555555,4.551333333333333,1.8421691320590274,1.6308069492318256
case1,run_20260115_184527,4,poirot,7.0,3.62060101010101,1.3428538016074505,2.516579977547602
case1,run_20260115_184527,5,marple,7.1,3.848859640359641,1.2201469950054273,2.6645481019488946
case1,run_20260115_184527,5,poirot,6.363636363636363,3.62060101010101,1.3428538016074505,2.0426909841204073
case1,run_20260115_184527,5,holmes,7.3,4.551333333333333,1.8421691320590274,1.4920816003438457
case1,run_20260115_184759,1,holmes,5.375,4.551333333333333,1.8421691320590274,0.44711783100286734
case1,run_20260115_184759,1,poirot,5.666666666666667,3.62060101010101,1.3428538016074505,1.523669705604909
case1,run_20260115_184759,1,marple,6.285714285714286,3.848859640359641,1.2201469950054273,1.9971812046660864
case1,run_20260115_184759,2,holmes,7.555555555555555,4.551333333333333,1.8421691320590274,1.6308069492318256
case1,run_20260115_184759,2,marple,7.25,3.848859640359641,1.2201469950054273,2.7874841093430964
case1,run_20260115_184759,2,poirot,6.6,3.62060101010101,1.3428538016074505,2.218706895964794
case1,run_20260115_190152,1,marple,7.444444444444445,3.848859640359641,1.2201469950054273,2.946845600409654
