case,run_id,turn,character,intra_similarity,cross_similarity,character_distance
case1,run_20260115_184344,2,holmes,0.3983407240491389,0.11707581211316137,0.2812649119359775
case1,run_20260115_184344,2,marple,0.06435523439187904,0.03130858929218797,0.03304664509969107
case1,run_20260115_184344,2,poirot,0.17324304281305722,0.12881308555358512,0.0444299572594721
case1,run_20260115_184344,3,holmes,0.7203170760968288,0.16647238346694798,0.5538446926298808
case1,run_20260115_184344,3,marple,0.3239101739841712,0.12022306585153762,0.20368710813263358
case1,run_20260115_184344,3,poirot,0.16345379782531788,0.17661120794552,-0.013157410120202107
case1,run_20260115_184344,4,holmes,0.34123562502462024,0.0784059385113714,0.26282968651324884
case1,run_20260115_184344,4,marple,0.23714286787720723,0.0488928475082145,0.18825002036899274
case1,run_20260115_184344,4,poirot,0.4845475971628117,0.09417469351854263,0.3903729036442691
case1,run_20260115_184344,5,holmes,0.07613076388704985,0.1515164715061498,-0.07538570761909995
case1,run_20260115_184344,5,marple,0.023780023931286635,0.027527815777064868,-0.0037477918457782325
case1,run_20260115_184344,5,poirot,0.2834926461019256,0.15917162359805367,0.12432102250387192
case1,run_20260115_184344,6,holmes,0.17631070403627808,0.4532927049305079,-0.2769820008942298
case1,run_20260115_184344,6,marple,0.21452739933954357,0.46327577005389586,-0.2487483707143523
case1,run_20260115_184344,6,poirot,0.5883977619469122,0.44082772064326825,0.14757004130364393
case1,run_20260115_184344,7,holmes,0.4956337192659398,0.3890107468394004,0.1066229724265394
case1,run_20260115_184344,7,marple,0.37520390485629174,0.3611574398309271,0.014046465025364663
case1,run_20260115_184344,7,poirot,0.31475938947842896,0.45291745833832975,-0.13815806885990078
case1,run_20260115_184527,2,holmes,0.17895878577510632,0.03469032069761055,0.14426846507749577
case1,run_20260115_184527,2,marple,0.10108132507865873,0.062157966437577726,0.038923358641081006
case1,run_20260115_184527,2,poirot,0.037549350861275727,0.06177063034970613,-0.024221279488430406
case1,run_20260115_184527,3,holmes,0.668187138821046,0.09337442224625746,0.5748127165747885
case1,run_20260115_184527,3,marple,0.13090988767792705,0.1318287911332559,-0.0009189034553288566
case1,run_20260115_184527,3,poirot,0.09648664841260583,0.14576212696360502,-0.04927547855099919
case1,run_20260115_184527,4,holmes,0.04299846169756731,0.44066235719854424,-0.3976638955009769
case1,run_20260115_184527,4,marple,0.7261349711227046,0.3760668730237824,0.35006809809892225
case1,run_20260115_184527,4,poirot,0.2735902328942312,0.18815710232535715,0.08543313056887403
case1,run_20260115_184527,5,holmes,0.1501968815473797,0.5669323435632286,-0.41673546201584893
case1,run_20260115_184527,5,marple,0.28578494023019385,0.4605480781387834,-0.17476313790858955
case1,run_20260115_184527,5,poirot,0.7541102306783294,0.5481057888371854,0.20600444184114397
case1,run_20260115_184643,2,holmes,0.23498296261027007,0.33011503142592424,-0.09513206881565417
case1,run_20260115_184643,2,marple,0.069125169193066,0.310201542035341,-0.241076372842275
case1,run_20260115_184643,2,poirot,0.2555382864117417,0.3768558582471303,-0.1213175718353886
case1,run_20260115_184643,3,holmes,0.45362761944017105,0.2715125153233514,0.18211510411681964
case1,run_20260115_184643,3,marple,0.45533331423269063,0.23547066962426366,0.21986264460842697
case1,run_20260115_184643,3,poirot,0.4210734301306365,0.2500763277061452,0.1709971024244913
case1,run_20260115_184643,4,holmes,0.49232201680195103,0.3690940112395564,0.12322800556239466
case1,run_20260115_184643,4,marple,0.2712787963239662,0.2715217864637843,-0.00024299013981810003
case1,run_20260115_184643,4,poirot,0.9390892071342904,0.24988481247483418,0.6892043946594563
case1,run_20260115_184643,5,holmes,0.552751412242642,0.6560734615923327,-0.10332204934969069
case1,run_20260115_184643,5,marple,0.25301325968026955,0.5475218434115522,-0.29450858373128264
case1,run_20260115_184643,5,poirot,0.18268813645466506,0.6313212978730653,-0.44863316141840026
case1,run_20260115_184759,2,holmes,0.1247776341445506,0.15671041910143452,-0.03193278495688391
case1,run_20260115_184759,2,marple,0.04165683531868394,0.15165903758564736,-0.11000220226696342
case1,run_20260115_184759,2,poirot,0.06285275197666361,0.13184931341612438,-0.06899656143946077
case1,run_20260115_184824,2,holmes,0.34131073279780544,0.19322469229376302,0.14808604050404242
case1,run_20260115_184824,2,marple,0.10944670421187322,0.11967481554344937,-0.010228111331576153
case1,run_20260115_184824,2,poirot,0.16800005996940437,0.12649045884853685,0.04150960112086752
case1,run_20260115_184824,3,holmes,0.26470097026128037,0.03869865016990043,0.22600232009137994
case1,run_20260115_184824,3,marple,0.14856399211703297,0.051168159669384775,0.0973958324476482
case1,run_20260115_184824,3,poirot,0.5525601852800579,0.03789882160291696,0.514661363677141
case1,run_20260115_184824,4,holmes,0.08561324460674993,0.3332295290746746,-0.2476162844679247
case1,run_20260115_184824,4,marple,0.17330878074384698,0.25575375910349946,-0.08244497835965248
case1,run_20260115_184824,4,poirot,0.12155011132541743,0.22023347725928652,-0.09868336593386909
case1,run_20260115_184824,5,holmes,0.36995649062111957,0.08008855275833396,0.28986793786278564
case1,run_20260115_184824,5,marple,0.2688272333348088,0.07148699854583372,0.19734023478897506
case1,run_20260115_184824,5,poirot,0.16596203340374194,0.09853772958413129,0.06742430381961065
case1,run_20260115_184824,6,holmes,0.35298892876345334,0.5218510155147233,-0.16886208675127
case1,run_20260115_184824,6,marple,0.7714651298029288,0.46715406276578164,0.30431106703714716
case1,run_20260115_184824,6,poirot,0.14777008038540437,0.45673100366938324,-0.30896092328397884
case1,run_20260115_184954,2,holmes,0.03448349045760693,0.11145633617770993,-0.076972845720103
case1,run_20260115_184954,2,marple,0.012607918304713696,0.13465882935395884,-0.12205091104924515
case1,run_20260115_184954,2,poirot,0.20407868754778696,0.1917143280663951,0.012364359481391862
case1,run_20260115_184954,3,holmes,0.14426029709110166,0.17086776082907743,-0.02660746373797576
case1,run_20260115_184954,3,marple,0.015446608082413969,0.14736596821636677,-0.1319193601339528
case1,run_20260115_184954,3,poirot,0.2786924954956589,0.20217417757228834,0.07651831792337055
case1,run_20260115_184954,4,holmes,0.30637694259878956,0.2990928275080015,0.007284115090788079
case1,run_20260115_184954,4,marple,0.5498805475222707,0.23523227004613328,0.3146482774761374
case1,run_20260115_184954,4,poirot,0.2776029657055871,0.23910103864885707,0.038501927056730056
case1,run_20260115_184954,5,holmes,0.5565904592478915,0.3843633709008985,0.17222708834699302
case1,run_20260115_184954,5,marple,0.23137407490799547,0.301560982643427,-0.07018690773543154
case1,run_20260115_184954,5,poirot,0.27000203117202665,0.4434367291804449,-0.17343469800841826
case1,run_20260115_190152,2,holmes,0.3676665209308101,0.09817437734245721,0.2694921435883529
case1,run_20260115_190152,2,marple,0.12046316278185616,0.12180648548658954,-0.0013433227047333768
case1,run_20260115_190152,2,poirot,0.07129387519380771,0.1297495042447742,-0.058455629050966476
case1,run_20260115_190152,3,holmes,0.2555096647923325,0.1789590927062959,0.0765505720860366
case1,run_20260115_190152,3,marple,0.3888028996556464,0.20822538294313458,0.18057751671251182
