case,run_id,turn,character,prob_correct,brier
case1,run_20260115_184344,1,holmes,0.9848719239234924,0.00022885868384037167
case1,run_20260115_184344,2,holmes,0.980402946472168,0.0003840445133391768
case1,run_20260115_184344,3,holmes,0.0031673947814852,0.9936752319335938
case1,run_20260115_184344,4,holmes,0.0031383305322378874,0.9937332272529602
case1,run_20260115_184344,5,holmes,0.025433627888560295,0.9497796893119812
case1,run_20260115_184344,6,holmes,0.002997515955939889,0.9940139651298523
case1,run_20260115_184344,7,holmes,0.020106874406337738,0.9601905941963196
case1,run_20260115_184344,1,marple,0.013806569389998913,0.9725774526596069
case1,run_20260115_184344,2,marple,0.002481914823874831,0.9950422644615173
case1,run_20260115_184344,3,marple,0.0017085836734622717,0.9965857863426208
case1,run_20260115_184344,4,marple,0.914583146572113,0.007296038791537285
case1,run_20260115_184344,5,marple,0.14889201521873474,0.7243847250938416
case1,run_20260115_184344,6,marple,0.9946500658988953,2.8621794626815245e-05
case1,run_20260115_184344,7,marple,0.5921529531478882,0.1663392186164856
case1,run_20260115_184344,1,poirot,0.9382396340370178,0.003814342897385359
case1,run_20260115_184344,2,poirot,0.034897834062576294,0.931422233581543
case1,run_20260115_184344,3,poirot,0.9876782298088074,0.00015182602510321885
case1,run_20260115_184344,4,poirot,0.9907893538475037,8.48359995870851e-05
case1,run_20260115_184344,5,poirot,0.9919399619102478,6.496421701740474e-05
case1,run_20260115_184344,6,poirot,0.9765146970748901,0.0005515594384633005
case1,run_20260115_184344,7,poirot,0.9934573769569397,4.280591747374274e-05
case1,run_20260115_184527,1,holmes,0.00479867635294795,0.990425705909729
case1,run_20260115_184527,2,holmes,0.6280015110969543,0.13838288187980652
case1,run_20260115_184527,3,holmes,0.0028734186198562384,0.9942614436149597
case1,run_20260115_184527,4,holmes,0.005612520966678858,0.9888064861297607
case1,run_20260115_184527,5,holmes,0.3077155351638794,0.4792577922344208
case1,run_20260115_184527,1,marple,0.0021683317609131336,0.9956679940223694
case1,run_20260115_184527,2,marple,0.0016211897600442171,0.9967602491378784
case1,run_20260115_184527,3,marple,0.00395201938226819,0.9921115636825562
case1,run_20260115_184527,4,marple,0.0019117537885904312,0.9961801171302795
case1,run_20260115_184527,5,marple,0.0016766502521932125,0.996649444103241
case1,run_20260115_184527,1,poirot,0.9952220320701599,2.2828977307653986e-05
case1,run_20260115_184527,2,poirot,0.004375922027975321,0.9912672638893127
case1,run_20260115_184527,3,poirot,0.9921118021011353,6.222366937436163e-05
case1,run_20260115_184527,4,poirot,0.9950466156005859,2.4536017008358613e-05
case1,run_20260115_184527,5,poirot,0.9925342798233032,5.573697853833437e-05
case1,run_20260115_184643,1,holmes,0.0025110398419201374,0.9949842691421509
case1,run_20260115_184643,2,holmes,0.002838615793734789,0.9943308234214783
case1,run_20260115_184643,3,holmes,0.8441572189331055,0.024286972358822823
case1,run_20260115_184643,4,holmes,0.04032360762357712,0.9209787845611572
case1,run_20260115_184643,5,holmes,0.0031464367639273405,0.9937170743942261
case1,run_20260115_184643,1,marple,0.993811309337616,3.829989145742729e-05
case1,run_20260115_184643,2,marple,0.9745597839355469,0.0006472045788541436
case1,run_20260115_184643,3,marple,0.044239092618227005,0.9134789109230042
case1,run_20260115_184643,4,marple,0.005548407789319754,0.9889339208602905
case1,run_20260115_184643,5,marple,0.004077438730746508,0.9918617606163025
case1,run_20260115_184643,1,poirot,0.8845563530921936,0.013327235355973244
case1,run_20260115_184643,2,poirot,0.027075856924057007,0.9465813040733337
case1,run_20260115_184643,3,poirot,0.07222811877727509,0.8607606291770935
case1,run_20260115_184643,4,poirot,0.024912258610129356,0.9507961273193359
case1,run_20260115_184643,5,poirot,0.9842733144760132,0.00024732862948440015
case1,run_20260115_184759,1,holmes,0.9865500926971436,0.00018090000958181918
case1,run_20260115_184759,2,holmes,0.3088018596172333,0.4777548313140869
case1,run_20260115_184759,1,marple,0.001983963418751955,0.9960360527038574
case1,run_20260115_184759,2,marple,0.9143158197402954,0.007341778837144375
case1,run_20260115_184759,1,poirot,0.9855839014053345,0.0002078239049296826
case1,run_20260115_184759,2,poirot,0.9941049814224243,3.475124321994372e-05
case1,run_20260115_184824,1,holmes,0.0017365544335916638,0.9965298771858215
case1,run_20260115_184824,2,holmes,0.001800601719878614,0.9964020252227783
case1,run_20260115_184824,3,holmes,0.0018244202947244048,0.9963544607162476
case1,run_20260115_184824,4,holmes,0.8589264154434204,0.019901756197214127
case1,run_20260115_184824,5,holmes,0.003489598399028182,0.9930329322814941
case1,run_20260115_184824,6,holmes,0.001471236115321517,0.99705970287323
case1,run_20260115_184824,1,marple,0.0014662944013252854,0.9970695972442627
case1,run_20260115_184824,2,marple,0.42282137274742126,0.33313512802124023
case1,run_20260115_184824,3,marple,0.0017045078566297889,0.9965938925743103
case1,run_20260115_184824,4,marple,0.0016460467595607042,0.9967105984687805
case1,run_20260115_184824,5,marple,0.0016760347643867135,0.996650755405426
case1,run_20260115_184824,6,marple,0.4047583043575287,0.35431262850761414
case1,run_20260115_184824,1,poirot,0.995019793510437,2.48024571192218e-05
case1,run_20260115_184824,2,poirot,0.9932651519775391,4.5358177885646e-05
case1,run_20260115_184824,3,poirot,0.9948392510414124,2.663332998054102e-05
case1,run_20260115_184824,4,poirot,0.46264585852622986,0.28874942660331726
case1,run_20260115_184824,5,poirot,0.9884029030799866,0.00013449265679810196
case1,run_20260115_184824,6,poirot,0.9930762052536011,4.793893458554521e-05
case1,run_20260115_184954,1,holmes,0.9845994114875793,0.00023717813019175082
case1,run_20260115_184954,2,holmes,0.002884903224185109,0.9942384958267212
case1,run_20260115_184954,3,holmes,0.003775314660742879,0.9924636483192444
case1,run_20260115_184954,4,holmes,0.0018654929008334875,0.9962724447250366
case1,run_20260115_184954,5,holmes,0.001978218089789152,0.9960474967956543
case1,run_20260115_184954,1,marple,0.03537615016102791,0.9304991960525513
case1,run_20260115_184954,2,marple,0.009069876745343208,0.9819425344467163
case1,run_20260115_184954,3,marple,0.8527772426605225,0.021674539893865585
case1,run_20260115_184954,4,marple,0.9919766783714294,6.437369302148e-05
case1,run_20260115_184954,5,marple,0.0015223459340631962,0.9969576001167297
case1,run_20260115_184954,1,poirot,0.9520171880722046,0.0023023502435535192
case1,run_20260115_184954,2,poirot,0.004933333955705166,0.9901576042175293
case1,run_20260115_184954,3,poirot,0.014203532598912716,0.9717946648597717
case1,run_20260115_184954,4,poirot,0.015322205610573292,0.9695903658866882
case1,run_20260115_184954,5,poirot,0.017791379243135452,0.9647337794303894
case1,run_20260115_185111,1,holmes,0.02408727817237377,0.9524056911468506
case1,run_20260115_185111,1,marple,0.9943134784698486,3.233652751077898e-05
case1,run_20260115_185111,1,poirot,0.004038372542709112,0.9919395446777344
case1,run_20260115_190152,1,holmes,0.0024849027395248413,0.9950363636016846
case1,run_20260115_190152,2,holmes,0.004262122325599194,0.9914938807487488
case1,run_20260115_190152,3,holmes,0.0027024350129067898,0.9946025013923645
case1,run_20260115_190152,4,holmes,0.002638627542182803,0.9947296977043152
case1,run_20260115_190152,1,marple,0.9941644072532654,3.405414099688642e-05
case1,run_20260115_190152,2,marple,0.0016689910553395748,0.996664822101593
case1,run_20260115_190152,3,marple,0.001525825122371316,0.9969506859779358
case1,run_20260115_190152,4,marple,0.001840209704823792,0.9963229298591614
case1,run_20260115_190152,1,poirot,0.005299743264913559,0.9894285798072815
