case,run_id,turn,character,pos,neg,neu,compound
case1,run_20260115_190417,5,poirot,0.038,0.183,0.779,-0.99
case1,run_20260115_190417,6,holmes,0.042,0.24,0.718,-0.996
case1,run_20260115_190417,6,marple,0.046,0.188,0.767,-0.989
case1,run_20260115_190417,6,poirot,0.032,0.138,0.831,-0.972
case1,run_20260115_190417,7,holmes,0.021,0.143,0.837,-0.984
case1,run_20260115_190417,7,marple,0.025,0.178,0.797,-0.97
case1,run_20260115_190417,7,poirot,0.027,0.157,0.816,-0.988
case1,run_20260115_190417,8,holmes,0.07,0.134,0.795,-0.922
case1,run_20260115_190417,8,marple,0.042,0.104,0.854,-0.963
case1,run_20260115_190417,8,poirot,0.032,0.122,0.846,-0.969
case1,run_20260115_184824,1,holmes,0.076,0.148,0.777,-0.902
case1,run_20260115_184824,1,marple,0.0,0.089,0.911,-0.862
case1,run_20260115_184824,1,poirot,0.065,0.033,0.901,0.526
case1,run_20260115_184824,2,holmes,0.0,0.147,0.853,-0.978
case1,run_20260115_184824,2,marple,0.116,0.091,0.793,0.4
case1,run_20260115_184824,2,poirot,0.024,0.091,0.885,-0.84
case1,run_20260115_184824,3,holmes,0.0,0.136,0.864,-0.947
case1,run_20260115_184824,3,marple,0.035,0.137,0.828,-0.926
case1,run_20260115_184824,3,poirot,0.0,0.075,0.925,-0.778
case1,run_20260115_184824,4,holmes,0.021,0.144,0.835,-0.973
case1,run_20260115_184824,4,marple,0.015,0.13,0.855,-0.957
case1,run_20260115_184824,4,poirot,0.031,0.163,0.806,-0.963
case1,run_20260115_184824,5,holmes,0.041,0.125,0.834,-0.96
case1,run_20260115_184824,5,marple,0.044,0.108,0.848,-0.896
case1,run_20260115_184824,5,poirot,0.05,0.096,0.855,-0.832
case1,run_20260115_184824,6,holmes,0.036,0.109,0.855,-0.934
case1,run_20260115_184824,6,marple,0.029,0.095,0.876,-0.93
case1,run_20260115_184824,6,poirot,0.0,0.114,0.886,-0.979
case1,run_20260122_141750,1,holmes,0.068,0.148,0.784,-0.951
case1,run_20260122_141750,1,marple,0.061,0.129,0.811,-0.874
case1,run_20260122_141750,1,poirot,0.071,0.157,0.772,-0.911
case1,run_20260122_141750,2,holmes,0.053,0.099,0.848,-0.872
case1,run_20260122_141750,2,marple,0.034,0.116,0.85,-0.882
case1,run_20260122_141750,2,poirot,0.0,0.157,0.843,-0.981
case1,run_20260122_141750,3,holmes,0.069,0.094,0.838,-0.681
case1,run_20260122_141750,3,marple,0.027,0.082,0.891,-0.857
case1,run_20260122_141750,3,poirot,0.008,0.066,0.926,-0.887
case1,run_20260122_141750,4,holmes,0.042,0.122,0.836,-0.956
case1,run_20260122_141750,4,marple,0.117,0.119,0.764,-0.342
case1,run_20260122_141750,4,poirot,0.0,0.151,0.849,-0.979
case1,run_20260122_141750,5,holmes,0.046,0.136,0.818,-0.973
case1,run_20260122_141750,5,marple,0.052,0.101,0.846,-0.85
case1,run_20260122_141750,5,poirot,0.032,0.147,0.82,-0.972
case1,run_20260122_141750,6,holmes,0.029,0.116,0.855,-0.958
case1,run_20260122_141750,6,marple,0.05,0.211,0.739,-0.983
case1,run_20260122_141750,6,poirot,0.029,0.139,0.832,-0.975
case1,run_20260115_184344,1,holmes,0.136,0.143,0.721,-0.468
case1,run_20260115_184344,1,marple,0.078,0.173,0.749,-0.905
case1,run_20260115_184344,1,poirot,0.0,0.111,0.889,-0.95
case1,run_20260115_184344,2,holmes,0.056,0.146,0.798,-0.95
case1,run_20260115_184344,2,marple,0.15,0.134,0.716,0.153
case1,run_20260115_184344,2,poirot,0.051,0.068,0.882,-0.666
case1,run_20260115_184344,3,holmes,0.061,0.114,0.825,-0.896
case1,run_20260115_184344,3,marple,0.072,0.094,0.834,-0.749
