turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_obs
1,0.3252645,0.05451393313705922,0.6183721512556076,0.6506567,0.36075662821531296,0.894306255877018,10
2,0.3617606,0.10407400876283646,0.6399937868118286,0.5903796,0.26263905316591263,0.8844070985913276,9
3,0.20451012,0.00707754724426195,0.4329619035124779,0.7482543,0.41331628859043124,0.9857759743928909,8
4,0.24007599,0.0020927841193042695,0.49738985300064087,0.7474137,0.49733190387487414,0.9959541127085685,8
5,0.19645698,0.022706606425344944,0.43011611700057983,0.7289429,0.4492749869823456,0.9578428864479065,7
6,0.6430465,0.4008326232433319,0.8852604627609253,0.19207408,0.025131259113550186,0.35901689529418945,4
7,0.29685688,0.0015608066460117698,0.5921529531478882,0.58161,0.1663392186164856,0.996880829334259,2
8,0.0020183534,0.002018353436142206,0.002018353436142206,0.9959674,0.9959673881530762,0.9959673881530762,1
