turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_runs
1,0.32395232,0.06856711,0.60962725,0.65515804,0.3624925,0.89609843,10
2,0.30065522,0.0029710769,0.59965724,0.69741213,0.39781,0.9948695,10
3,0.2504694,0.0015021112,0.6221808,0.74701715,0.3743063,0.9969732,8
4,0.0018648537,0.00097392115,0.002812403,0.99627537,0.99438417,0.9981653,7
5,0.011181328,0.004585745,0.015703086,0.9777851,0.9688404,0.99084955,3
6,0.0065046204,0.0065046204,0.0065046204,0.9870331,0.9870331,0.9870331,1
7,0.0033938289,0.0033938289,0.0033938289,0.99322385,0.99322385,0.99322385,1
