turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_obs
1,0.49593705,0.20143736340105534,0.7901239350438118,0.49305797,0.1950921505689621,0.7914953425526619,10
2,0.21474022,0.036131074745208026,0.4625044092535972,0.73173946,0.4576057307422161,0.9939529284834862,9
3,0.10770851,0.002075659588444978,0.31829376593232156,0.8736642,0.6306360960006714,0.9958289876580239,8
4,0.114786044,0.002823140932014212,0.3290809690952301,0.8628595,0.6190248727798462,0.9943613722920418,8
5,0.04938207,0.002326250309124589,0.13661649525165556,0.9148601,0.7673845291137695,0.9953535795211792,7
6,0.22781186,0.001502629366586916,0.6793169975280762,0.7492466,0.25596749782562256,0.9969969987869263,4
7,0.050561663,0.020106874406337738,0.08101645112037659,0.9023607,0.8445308208465576,0.9601905941963196,2
8,0.0013472214,0.0013472214341163635,0.0013472214341163635,0.9973073,0.997307300567627,0.997307300567627,1
