turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_obs
1,0.7634233,0.49386933,0.98595953,0.20862278,0.00031121375,0.49939227,10
2,0.42409536,0.13959534,0.7376047,0.53238136,0.22546953,0.8297513,9
3,0.5167493,0.16415548,0.86995864,0.4616995,0.12467636,0.79888546,8
4,0.610229,0.2617,0.8761557,0.3653521,0.115858056,0.72202694,8
5,0.87785494,0.6432233,0.99636227,0.09709012,1.5879303e-05,0.29120588,7
6,0.9931226,0.9917517,0.9944934,4.934099e-05,3.0394567e-05,6.828741e-05,4
7,0.99546707,0.99538606,0.9955481,2.055378e-05,1.9819156e-05,2.1288404e-05,2
8,0.99453604,0.99453604,0.99453604,2.9854835e-05,2.9854835e-05,2.9854835e-05,1
