turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_obs
1,0.4000531,0.10085845,0.69927716,0.5986145,0.29921675,0.8980296,10
2,0.18044865,0.0005755198,0.4291334,0.79269,0.49200207,0.99883276,9
3,0.120783925,0.0009785637,0.35657173,0.86977303,0.62075055,0.99800867,8
4,0.10485271,0.0013484297,0.3115537,0.85466975,0.5699969,0.9973112,6
5,0.0019397927,0.0003195811,0.004320118,0.99612707,0.99137837,0.99936086,3
6,0.0026997442,0.0026997442,0.0026997442,0.9946078,0.9946078,0.9946078,1
7,0.0013224874,0.0013224874,0.0013224874,0.9973567,0.9973567,0.9973567,1
8,0.00033346104,0.00033346104,0.00033346104,0.99933314,0.99933314,0.99933314,1
9,0.26407743,0.26407743,0.26407743,0.54158205,0.54158205,0.54158205,1
